Gene.Name.Corresponding.To.Protein	LFQ.intensity.ERp_A_103	LFQ.intensity.ERp_A_104	LFQ.intensity.ERp_A_110	LFQ.intensity.ERp_A_123	LFQ.intensity.ERp_A_137	LFQ.intensity.ERp_A_138	LFQ.intensity.ERp_A_143	LFQ.intensity.ERp_A_144	LFQ.intensity.ERp_A_164	LFQ.intensity.TNBC_10	LFQ.intensity.TNBC_107	LFQ.intensity.TNBC_108	LFQ.intensity.TNBC_12	LFQ.intensity.TNBC_153	LFQ.intensity.TNBC_178	LFQ.intensity.TNBC_188	LFQ.intensity.TNBC_203	LFQ.intensity.TNBC_21
QDPR	21.89456	20.47714	22.47333	21.10284	22.61637	19.30106	21.89726	21.20824	22.17937	16.13408	20.09365	19.45188	21.62814	19.81511	17.12903	20.55833	15.8124	16.29747
ALAD	19.76259	18.72271	20.78732	19.79267	20.13082	17.77066	20.16656	20.48768	19.39083	15.94875	20.70421	18.89247	18.83726	15.565	16.29448	19.00152	19.55043	19.06831
LCP1	20.47289	16.46313	19.66421	21.27247	20.8792	20.50388	19.15054	21.66744	21.26035	21.77945	22.42698	23.88623	22.06655	21.64869	21.95475	23.23207	22.52629	22.17326
TCP1	20.83792	20.58022	21.13921	21.5919	20.97239	18.87721	21.07209	21.65237	21.01794	20.88688	20.93308	22.26748	20.52774	21.40104	21.59487	21.45819	23.28306	20.17633
RAB6A	22.00141	16.98538	21.15869	21.98357	21.8343	21.32003	21.04654	22.4131	16.75863	21.55679	21.96265	21.9968	21.25626	21.72655	21.07084	22.47316	22.18535	21.55169
FBL	19.38793	19.36675	19.40752	20.41813	20.8753	16.50228	20.21086	21.22553	21.25303	21.77933	20.30039	21.37888	21.98054	21.17731	20.78333	21.12666	21.48522	21.93416
PAICS	19.7342	20.1201	18.75378	20.73149	19.7191	16.09116	20.95724	21.09217	20.75491	20.34061	19.17346	20.5589	20.40478	20.10431	21.27884	21.50266	20.7997	21.8164
UQCRC2	21.08874	21.28568	22.16788	20.91306	20.64579	20.61567	20.69566	22.37268	21.55866	20.471	21.02344	21.32312	21.40151	19.43661	20.74098	21.68513	22.52497	19.96747
FBLN1	20.94285	20.35143	20.75148	23.42342	17.47516	21.63165	20.5695	16.85099	18.52198	17.77269	18.82557	18.32545	17.44468	19.22938	19.6172	17.81897	17.2733	15.99351
U2AF2	17.56607	17.84009	17.049	17.53625	19.94163	17.78647	17.5723	19.18294	18.13781	17.97152	16.81027	19.55041	18.64216	18.41245	17.71411	19.00681	19.09143	18.85523
