Gene.Name.Corresponding.To.Protein	LFQ.intensity.ERp_A_103	LFQ.intensity.ERp_A_104	LFQ.intensity.ERp_A_110	LFQ.intensity.ERp_A_123	LFQ.intensity.ERp_A_137	LFQ.intensity.ERp_A_138	LFQ.intensity.ERp_A_143	LFQ.intensity.ERp_A_144	LFQ.intensity.ERp_A_164	LFQ.intensity.TNBC_10	LFQ.intensity.TNBC_107	LFQ.intensity.TNBC_108	LFQ.intensity.TNBC_12	LFQ.intensity.TNBC_153	LFQ.intensity.TNBC_178	LFQ.intensity.TNBC_188	LFQ.intensity.TNBC_203	LFQ.intensity.TNBC_21
FAM136A	16.79502	15.51442	15.06896	15.61037	15.63112	16.4775	15.47989	18.09916	16.44155	17.60674	16.72161	18.80423	16.38928	18.11675	17.12864	16.36824	20.23678	17.80057
YARS	17.10068	17.67618	16.62101	15.98868	16.12446	16.3928	17.59286	16.53536	17.36194	18.80114	18.94306	18.04084	16.88317	16.24262	20.80002	18.4221	20.26968	19.10319
EIF2A	16.08337	17.30937	17.19087	16.88578	16.30232	15.8545	15.76327	17.22176	16.5381	19.01648	18.33351	18.10272	18.7086	17.7813	18.78826	18.13921	18.26288	18.83365
GBP1	17.35981	16.72252	17.24919	16.57385	17.30786	16.26212	15.95587	16.84433	17.99844	19.71431	19.90528	19.78061	18.73062	18.27662	22.36172	18.5133	21.52807	19.79852
S100A8	16.01584	16.18365	16.6046	16.55298	17.87304	15.96592	17.91158	19.9007	18.76856	19.63254	22.14675	23.30508	18.00344	19.71026	21.45724	19.86757	21.51499	20.63414
GLT25D1	15.60242	16.6547	16.39341	19.02315	16.76991	16.57915	16.43173	17.07753	16.9459	17.16874	18.02134	18.44589	16.74697	20.56626	20.42327	19.13681	19.20237	18.05245
SRRM2	17.50895	16.67611	18.80128	18.90422	18.87568	16.58728	16.06205	19.0362	17.97195	19.45304	16.46496	20.37888	19.60456	18.50758	16.03235	18.93612	19.54106	20.42716
ATP6V1D	17.10866	16.49486	16.92352	17.09071	15.46528	15.54341	16.10755	18.39812	16.97632	15.2577	15.47381	19.01694	18.05706	16.44911	19.27378	18.32356	17.23659	18.06566
ATP1A1	15.47793	16.94395	16.63154	21.24383	16.56671	17.7999	15.88899	19.58862	16.35925	18.64787	18.72411	18.9348	16.28062	16.52734	15.44338	19.62676	19.95091	20.26465
PTBP3	16.85206	17.36187	15.96339	17.87963	17.33377	16.60071	16.53057	18.3304	18.72757	15.91685	17.0995	18.76746	19.0302	17.32411	17.53875	17.8019	19.5869	18.32558
NAMPT	16.57957	17.10749	16.98125	16.8438	17.33058	15.98419	18.16884	15.69572	18.26472	15.91166	19.56782	18.80867	18.45619	17.26306	19.75326	17.17121	18.58255	20.66119
BID	15.98451	16.57862	17.19464	17.06749	19.02505	17.5218	18.16835	18.00624	19.52151	18.19456	17.96387	18.28704	19.93431	19.12457	18.58945	19.23977	18.10421	21.17828
CHD4	15.50427	15.82858	16.89667	16.02153	15.83926	17.28515	16.23941	19.53191	18.06203	16.51953	15.87179	18.88962	18.30999	16.54787	15.73385	16.25434	17.74524	19.34843
CDK1	17.85726	15.13635	16.80037	20.69515	21.26539	14.38391	16.2386	19.89561	16.85001	20.52239	16.52868	20.86544	21.24109	20.71339	16.31147	20.97239	20.22541	21.2324
HMOX1	18.20958	15.32893	18.05017	16.02025	18.70354	16.33763	17.31149	17.42735	15.7043	18.82749	18.58978	18.61159	19.08677	15.30648	18.14798	17.85069	18.6875	18.42481
IL4I1	17.28433	18.94407	17.05618	15.85034	17.07236	16.87151	18.81888	16.53379	16.6871	19.16032	19.02318	19.01272	18.77375	18.61465	21.24365	20.19761	18.4677	19.05075
CHMP4B	16.38218	18.64709	16.68547	18.84574	17.17002	15.78112	16.82206	18.6937	18.93192	19.17202	16.46226	18.29827	19.29439	18.91535	18.85687	18.16879	18.30001	20.39226
TARS	17.8305	19.02877	17.93349	20.41947	16.48528	16.35492	18.73026	15.88899	17.28212	17.33523	17.93134	19.21828	19.03443	17.03629	19.24922	20.18459	19.59485	18.70937
CYBB	16.78118	17.18078	15.95703	17.64261	17.16683	17.65641	15.43665	17.69676	17.26024	18.8059	16.17868	17.4981	19.27864	16.69547	19.52018	17.9026	17.85635	18.13616
DSP	17.04567	17.02252	17.34009	16.4135	17.53587	16.22114	17.59494	18.24975	17.11969	16.80876	16.81065	17.46985	17.01607	18.22788	16.56326	18.60628	18.9609	15.65561
NSUN2	17.07024	16.59181	15.68372	18.02361	16.89192	15.69389	16.44689	17.11513	17.43695	18.06666	17.17055	16.58018	19.47336	18.00141	17.43119	18.51918	17.88154	19.54387
CXorf26	16.85748	16.01516	16.94229	17.34802	16.70698	16.49608	16.41016	16.93168	15.81096	15.74465	17.99888	16.98682	15.86926	17.86617	18.17738	15.80447	18.33804	15.64248
CAST	16.47803	20.37994	15.62125	18.633	15.40983	15.75555	16.1754	16.3075	18.9048	19.68224	19.02867	17.70052	20.17524	17.91444	16.72153	18.7281	17.87478	20.29737
UBE2L6	18.12268	16.27124	16.68186	17.93853	16.03051	17.56787	17.79059	18.60924	15.99138	17.48295	18.87888	19.61412	16.01336	17.79049	19.46758	19.04006	18.70164	18.47255
S100A9	16.45667	17.29937	16.11584	17.03306	17.28008	16.29207	16.59217	20.59987	16.49055	20.37124	23.49582	24.6804	19.11266	22.01281	22.83567	19.91351	21.45699	20.34234
NASP	16.30914	17.59956	16.59477	16.92851	16.58897	15.97748	16.96607	17.03617	16.53428	19.67319	20.99079	19.62373	19.60643	19.07903	19.33294	18.75858	18.88226	20.53896
C17orf61	16.88659	19.07352	17.03695	16.82298	17.42593	16.13786	18.64044	19.4581	19.06234	18.52749	18.66306	17.2993	19.47888	16.9961	17.91759	16.15957	16.75193	18.78341
SSR3	17.33131	20.07156	16.73004	20.30095	16.27824	16.62256	15.81186	18.5411	16.13804	19.5583	20.16447	19.27571	18.49584	15.605	18.6849	19.787	19.86964	17.93698
ADSL	17.00552	18.47876	18.52375	17.38314	16.49908	17.24626	19.29798	16.55941	16.89096	19.34217	18.94544	19.55742	16.83792	18.95444	19.07237	18.44205	20.63777	20.02918
ISG15	16.01023	17.54094	16.08146	16.9533	17.23764	15.57392	18.13011	20.76166	15.48495	18.35294	17.1207	20.02769	19.95617	18.49037	17.97242	20.34299	21.16466	16.82041
HDLBP	17.34369	16.15191	16.51015	18.48939	16.58274	18.87846	16.87753	17.33011	15.96113	18.12217	18.04479	18.07143	16.73246	18.81775	16.9779	16.91469	18.60729	19.93891
TXNRD1	17.69921	16.21613	16.5131	16.76413	16.35316	18.10631	16.00317	18.21195	16.2275	15.77494	17.55839	18.66052	16.1962	17.68353	17.24724	17.86097	19.79255	16.93825
PFDN1	15.32694	15.50065	17.44101	16.67986	18.80574	17.7835	16.13158	18.60704	18.3557	19.00204	18.27939	19.04324	18.56317	18.50684	18.76995	18.82482	16.60043	18.28897
PYCR1	19.7291	18.35139	16.06426	16.87088	15.75222	15.68731	16.45386	16.44142	19.23984	17.05347	19.60252	19.23557	19.01078	20.3849	17.27427	20.59696	19.26902	20.81206
COPB1	16.51799	17.42356	16.79144	16.98876	19.6214	15.59558	16.67462	16.32257	15.75807	20.4915	20.10521	19.97309	16.37164	15.36338	16.10166	19.95504	20.39916	15.68758
CROCC	16.36743	16.43451	17.17218	18.64104	17.05372	16.59395	16.74824	16.51447	17.41097	17.25741	17.6154	18.74465	18.97407	17.37237	17.62892	15.99723	19.62364	19.47961
CSTF2	16.16145	16.3148	16.31837	18.18277	15.58431	16.95512	16.7147	18.30225	16.8047	18.67187	16.58522	18.6282	18.64565	15.82516	18.20204	15.69797	18.06755	18.10283
TNC	19.19528	17.12716	18.77774	19.87177	16.54537	16.36435	21.76713	15.73918	17.69432	18.11934	18.36487	18.50347	17.43143	22.00024	21.73488	17.29311	17.63467	18.16413
VDAC3	17.28399	17.14504	19.80112	19.62973	19.65896	17.02257	15.61725	21.11813	16.68958	19.38437	19.03851	19.72471	16.90871	16.09017	15.85044	20.2447	21.60164	19.4674
PGM3	15.10404	16.70816	16.36051	16.03352	17.36851	16.09925	18.90997	15.45986	16.79198	18.37933	18.25003	18.69285	15.32094	19.03413	18.18626	19.11705	18.92088	19.08208
CAPRIN1	16.2741	16.96979	15.95075	16.77964	16.7525	15.84264	16.85542	18.92524	14.78054	15.93047	16.08816	19.15432	18.8059	18.66345	20.16668	18.96347	20.53308	19.84488
MX1	17.36573	16.70436	15.80304	17.53058	16.25943	16.53309	16.79987	21.23929	16.86711	18.94524	21.21116	22.33178	18.07064	19.63582	17.76987	21.88092	23.52874	17.05235
C8orf55	16.35601	16.51627	18.42214	19.69513	18.69377	16.83434	16.22083	19.29932	15.90986	19.59938	20.44728	16.80977	19.37675	16.98952	17.21304	21.14021	20.46493	18.55146
GARS	16.44003	17.49124	16.72676	14.83557	16.02771	16.64494	17.97377	16.19989	15.98129	16.37872	16.62231	19.99148	19.25388	19.30486	20.48503	19.98954	19.81685	18.31252
UBE2G1	17.46881	17.04294	16.81951	16.68761	16.74958	16.99958	18.0288	16.11412	16.21373	18.31637	16.05269	17.70408	17.28537	18.37585	18.19446	18.29598	17.44815	17.11472
NAPRT1	16.41842	19.03966	16.48205	16.40882	19.70298	16.6719	16.05064	18.89537	18.37322	20.1182	16.69323	17.75643	20.08732	16.97505	18.21224	15.94063	16.46272	16.91162
ACLY	16.16595	17.24095	17.37278	19.8454	16.61733	17.36829	16.28169	17.97163	20.32279	17.05091	18.28279	18.62571	18.36854	17.17535	15.68685	20.13696	21.56955	17.51368
SDHA	17.86218	19.24296	18.04019	20.48915	15.86221	16.99716	18.1818	17.73793	16.20783	16.66289	18.43217	18.19104	17.81916	15.96584	18.19196	18.77446	18.65767	18.4842
APOC3	19.43347	15.8719	17.06705	16.8873	18.97643	15.88916	18.99491	20.20908	20.25834	18.9718	16.82477	19.26029	21.00997	21.01257	16.8507	18.13009	19.02486	21.41622
TGM2	16.96345	16.96179	17.23182	16.87412	17.43219	17.74355	15.87264	21.39079	16.90953	17.16651	17.87382	18.60128	17.96832	17.79259	22.54868	16.84689	17.47104	17.90419
PSMC5	16.76592	16.44287	19.11009	19.12951	16.64352	15.92403	16.48151	19.01985	16.06053	16.63616	16.30069	18.61705	15.68253	19.22015	19.04375	18.81766	20.33058	20.71011
SLC25A6	18.80165	19.73922	17.00911	19.16646	16.56313	15.98637	18.36914	19.47409	18.36149	19.09143	19.24901	18.94218	19.36716	19.84503	19.42751	20.48355	20.52765	19.18335
FCER1G	15.85594	19.29894	16.24497	18.21058	18.7191	16.1348	18.9897	18.61213	16.52862	19.49828	19.64918	18.60805	19.31465	18.95094	19.64248	18.31225	18.19907	19.00072
EXOSC3	17.8558	17.35693	17.1117	18.86318	15.44978	17.52111	16.08703	17.64801	16.67319	18.84448	17.99998	19.01193	19.33366	18.99433	18.91998	19.03569	18.61461	19.56138
MTCH2	15.47167	15.75542	16.22462	19.68533	16.11606	16.3165	17.00791	20.10175	15.79205	18.80807	19.89307	18.3177	19.67756	18.12747	18.04121	20.63396	19.76298	19.20865
UBA5	17.45499	17.73026	17.89439	15.53971	17.96916	17.3462	17.7284	18.08499	16.96065	18.04394	19.11337	18.50032	18.41262	18.35965	18.11898	17.90277	17.75003	19.01225
HTRA2	15.86754	15.70151	17.7645	15.93793	15.82201	16.1487	15.63333	16.38766	16.51675	16.84163	21.01713	21.0357	21.5515	20.68603	20.76377	20.61387	21.01311	20.1881
CYC1	16.24163	16.92249	19.64338	19.93876	15.84594	16.8765	16.74651	20.36826	15.20513	18.62457	19.81383	19.77079	19.45272	17.13308	18.58005	19.2871	20.27515	17.66553
CSDA	17.18347	16.12892	17.87382	16.37623	17.25565	15.92214	16.66026	17.07439	16.68969	18.19724	17.89983	18.70887	18.54631	19.05038	18.10636	15.58219	18.24871	19.36412
NUDC	15.77445	16.07225	16.39804	19.10249	18.7616	17.21338	16.33901	19.50549	16.86631	16.16366	17.98865	19.03674	19.29039	17.72322	15.52539	18.74741	19.80845	16.62131
GLIPR2	15.90464	15.75961	16.62432	19.43408	18.45716	15.80352	19.16815	17.94392	17.07965	19.17431	19.96183	19.96593	19.26602	15.77018	18.69176	19.91259	20.92579	19.81799
NDUFS7	17.99877	15.99586	18.30888	18.38191	17.58605	17.21529	16.08071	18.79703	17.11882	17.80795	18.18437	16.92254	18.00009	17.62378	16.84516	18.58035	17.87021	15.77171
DDB1	19.10447	17.20109	17.25358	20.37751	18.47698	16.45266	15.97009	19.11149	16.50577	17.6136	18.3026	18.62089	18.1994	17.06279	16.22896	18.67707	18.05822	17.73456
CRABP1	16.9366	20.34538	18.37535	21.22776	20.43736	18.27041	16.21311	21.2257	20.40665	20.1928	21.72247	21.29395	16.23715	15.97342	22.97591	20.12641	24.34442	21.27327
SF3A1	17.32988	15.56568	18.18171	17.53974	16.41248	15.49508	16.63485	18.44451	19.00854	18.88965	16.62714	19.47605	19.38846	18.89107	18.25557	18.9021	20.01073	19.23739
C11orf54	17.10411	16.4262	17.38355	15.47126	17.27531	16.99799	17.86508	17.31858	18.37632	18.61234	16.61924	17.15956	18.82445	17.37957	17.00613	17.47611	16.97589	18.36841
EHD4	16.22432	16.51346	17.4839	16.08377	19.07992	16.48228	15.64861	19.17251	16.79676	17.9547	19.54589	19.73293	19.65646	18.66872	19.32847	18.53735	19.93416	19.24293
EIF3D	16.68183	19.27919	17.04342	18.98125	18.13084	15.11073	15.69613	17.60957	16.28107	18.30292	18.66213	19.40054	18.60661	16.36987	15.39502	18.83272	19.42405	19.11146
PRRC1	19.06028	15.4651	16.24852	19.54163	20.31041	18.93693	15.60098	19.37878	16.21089	17.44702	20.38659	18.82137	16.52627	17.96059	17.63998	19.7524	16.63903	16.93224
CYCS	18.42485	16.12035	19.65297	16.76361	17.04037	16.49659	17.76925	19.65632	17.2931	19.37744	18.98604	18.35135	19.04993	17.5179	18.68199	18.67387	20.34581	19.63865
EIF4G1	19.19191	16.43349	16.80868	19.88248	16.89904	17.43217	18.3611	19.38608	17.47584	19.60143	19.19957	19.58652	16.41241	18.34456	19.633	20.72067	19.48436	21.5769
SLC25A3	17.3953	20.25592	19.60109	19.44261	16.83794	15.93142	16.2877	21.82606	19.61987	20.60141	20.15734	19.08467	18.59354	16.09976	16.34559	19.67192	20.88547	21.39503
SFXN1	16.23886	15.72707	16.6297	19.35042	16.86793	16.38309	16.11849	19.78896	15.86969	15.88698	20.44142	20.82958	20.21288	16.84809	15.44496	19.54255	19.88105	18.82078
FARSB	15.53418	17.1248	18.68127	19.08465	16.55707	16.56247	17.13198	18.45177	15.752	17.48243	18.14589	18.33917	16.49034	18.75274	17.0667	18.87628	18.11797	17.79519
NUDT5	15.89093	16.20697	15.53788	14.41001	20.20168	16.62548	19.10226	19.81672	15.6966	20.36046	19.64423	19.51299	19.0454	20.67969	17.20634	19.50533	20.46573	21.41586
EEF1E1	15.68524	16.70256	18.51972	16.54483	19.04204	16.97098	18.82006	16.37535	16.64092	16.70347	17.13601	17.64526	18.19739	19.6704	16.62582	16.40766	18.41324	17.96229
KIAA1328	17.52321	16.2357	15.93065	16.2557	17.48495	17.30293	18.57891	16.88515	17.90877	19.66628	15.78823	20.36933	20.10495	19.40595	19.05775	19.97057	18.97516	19.56074
DPP3	15.6046	19.34319	16.57718	20.21276	19.97141	16.56352	17.10774	20.71104	20.75475	18.02258	18.88086	18.90395	20.23503	19.44726	19.88162	19.93704	18.86063	19.64904
TFG	17.00045	15.34967	19.15425	19.12394	19.47773	19.71691	20.11693	20.8565	16.17198	20.9876	16.09825	19.97379	16.38596	20.81855	16.14321	18.77382	18.84849	18.82957
SAP18	16.92544	16.85477	16.87054	17.05102	16.67742	16.32208	17.9856	18.59892	18.57263	17.4638	16.79639	18.57755	17.77192	19.87155	18.73307	17.99998	16.87795	17.3954
PSMD14	16.95302	16.19368	16.60756	17.79259	16.78013	17.35027	15.76001	18.44225	16.61896	17.7752	17.96308	18.41001	16.93899	16.26104	16.4206	18.30006	18.95909	18.17451
STIP1	17.6345	16.70109	17.25442	20.12654	18.62699	16.31591	16.82598	20.14308	15.83725	16.26945	18.69071	19.96578	16.5973	18.46483	19.30846	20.12275	20.02093	20.13759
SEPHS1	16.38601	16.29445	15.64172	18.30309	16.89942	16.22909	19.18357	17.40519	16.72903	19.30432	16.73638	18.87135	16.40497	18.17719	16.83143	20.06592	18.27912	19.95971
HCFC1	17.17986	16.80182	16.26631	18.62574	17.14965	16.39633	17.77109	18.5471	16.00042	18.71099	18.90533	19.81528	16.88501	16.14311	16.39858	17.89534	18.19528	16.77595
PFKP	15.86056	16.51715	18.94938	17.46756	19.35113	17.354	19.65048	18.99957	15.65671	16.71927	16.51159	18.72956	18.60386	18.4602	18.20237	19.31898	22.96893	20.78907
LRRFIP1	17.21927	16.97685	18.73158	16.6361	17.85317	16.881	19.70885	19.2974	16.14407	19.44716	18.03198	18.71957	20.19135	19.80349	19.4031	19.5126	18.30599	19.98245
LSM12	16.10963	17.51422	16.6977	16.56715	16.28395	16.98147	17.07064	16.24101	17.43274	17.80101	16.79004	17.04356	18.78871	18.07169	17.56599	16.39949	17.4931	18.74688
PPP1R14B	19.52951	16.66805	16.48162	15.12461	16.71565	16.11131	19.80631	19.41316	20.58738	21.35299	19.46022	20.66014	15.33799	21.14308	21.23789	20.69787	19.87655	20.62729
CALML5	25.52549	20.35035	19.19468	17.96099	21.80471	23.91004	16.74471	15.10407	20.98947	25.36966	18.94467	21.42424	25.02652	24.79029	16.78312	17.18234	26.71908	19.40773
TIMM9	16.44414	16.06821	15.58602	17.26908	18.99247	18.59641	16.92618	18.48942	17.04522	19.21587	19.29174	18.8484	16.33756	19.04591	17.00125	18.24354	16.98455	20.12035
SAFB	16.2832	16.74097	16.47821	20.30997	19.35486	17.67212	16.44284	19.73808	19.39655	19.42466	18.75486	20.49121	19.04121	18.51403	16.41552	18.87286	19.80953	18.89635
SAA4	19.19554	19.85305	20.37751	15.46881	15.86523	17.10514	16.22759	19.87941	16.51822	16.36154	21.4399	18.83935	19.57413	19.29203	20.35283	18.03031	18.57237	19.96183
MTDH	16.60846	17.17661	16.42667	16.61468	17.53397	16.25798	15.57651	19.95319	18.37003	18.50777	20.60729	20.94185	19.51179	18.63998	17.68718	20.12212	20.54312	19.49833
GNAS	19.40968	16.93412	16.28412	18.83541	19.19713	16.12618	15.94653	18.20534	19.09347	17.22104	15.84088	19.30897	19.20951	18.67332	17.59565	18.92506	18.48192	19.67857
GUK1	18.46571	17.01551	17.0408	15.0009	18.61655	15.42504	16.63865	19.60221	16.48794	17.71943	18.12409	18.97281	18.91873	19.03179	18.09533	19.74495	16.50027	19.53463
COPB2	19.53524	18.91739	17.8744	19.59087	20.00498	20.63759	18.66934	19.30844	16.84867	17.69473	17.68825	18.48302	17.96025	18.74488	17.46579	19.03125	17.90677	19.68147
SPCS2	17.25836	19.14203	16.96647	19.23348	17.20149	17.29239	15.09238	19.92392	15.39941	20.52812	20.47427	19.88777	15.88382	17.08535	18.37873	18.62924	18.31163	19.26561
SBDS	17.64878	17.61142	17.68729	17.33781	19.74236	20.11452	18.11579	18.19277	15.93051	18.7951	18.06855	17.4777	18.01242	17.49795	18.08041	17.14925	16.73304	18.78481
NPM3	16.37924	19.50525	16.07173	18.88869	18.95339	18.30073	15.66514	15.96922	19.13016	17.1728	18.42386	19.36724	17.05325	19.52656	18.75682	20.02188	17.86321	16.00874
PDIA4	16.45341	17.68165	16.48046	22.06336	18.75646	15.79675	17.11116	19.74463	16.21335	18.23883	21.11566	19.30044	15.64914	19.7521	19.54276	20.30919	21.53782	22.45906
PACAP	17.20668	17.45132	16.23886	20.24528	16.14021	20.9151	16.03903	20.59286	17.17514	21.43532	22.91234	23.38864	15.78248	22.08249	20.43278	18.70337	21.45086	19.62407
TRAPPC3	16.64111	18.76652	15.59565	19.39916	16.57846	16.16545	17.44066	16.13632	16.40784	16.65338	18.56421	19.14535	18.99341	18.40487	17.59526	19.57489	18.48962	18.56633
ALDH18A1	19.44552	18.8351	16.91674	19.84064	17.12896	16.84748	18.61781	18.66133	16.989	17.64576	18.00377	19.87598	19.80905	18.06529	19.34165	20.22164	19.08371	20.41297
PRKDC	16.52311	16.33095	16.08169	22.04357	16.3863	16.8584	18.19075	18.73427	17.35927	19.97953	18.28053	19.34934	21.38174	19.42481	20.97666	20.16362	21.4224	22.07588
CARHSP1	17.47271	17.01854	17.17212	17.401	18.52658	18.33595	17.87183	17.8569	18.13956	18.58501	17.84983	18.4401	19.38947	17.95452	19.01165	17.59354	17.94849	18.49802
PPP2R4	19.90257	16.88964	17.91208	19.60321	19.76151	16.25883	19.05933	14.92106	15.99381	19.13951	18.69374	19.74406	19.52095	19.59122	15.48924	19.754	18.94475	18.33643
CNN2	21.01706	21.2064	15.60619	19.16784	16.77041	16.20623	21.27099	17.0715	20.45242	21.39058	19.93546	18.48424	20.26957	20.01522	19.93675	16.19999	18.39737	20.7774
GNS	19.34315	15.88902	17.2667	20.20419	20.30641	15.0448	16.55578	19.9126	17.58694	18.52271	18.40707	18.77233	19.20299	18.58369	16.55702	19.70555	16.72699	19.07235
DYNC1I2	16.93076	16.67871	19.68563	19.95816	19.79662	21.02621	16.03839	18.87984	16.86894	18.93776	18.61615	17.90613	19.24727	19.30412	16.05371	19.17062	20.19868	20.23281
CSE1L	18.79696	27.53949	16.45813	27.57001	27.79959	17.04576	17.59972	25.93112	15.84684	28.4233	27.88285	27.19056	28.36878	27.3033	27.95898	27.32569	26.60173	27.60774
SNX2	19.08941	18.94926	16.92293	19.4577	19.11434	17.42683	17.11658	19.11345	15.69027	15.67898	18.90821	19.45258	19.71939	15.67114	19.44205	19.37761	19.27808	19.25783
NDRG1	15.11472	19.62285	15.373	20.26006	16.02521	15.43722	17.38591	19.19342	18.00805	21.35008	20.21205	20.25994	18.44658	19.42612	21.47516	20.05497	20.20455	20.36805
ERP44	16.04923	16.1572	17.21347	19.72597	17.65359	17.11801	18.80351	16.0051	16.98142	17.91946	19.78488	20.13609	18.90483	19.79047	19.21937	19.63867	20.02567	19.71823
RAB18	16.52999	16.43438	15.8503	19.79275	19.57688	15.91386	16.50393	19.96183	16.62434	15.74276	16.2352	20.88017	18.24516	19.13654	17.621	19.3996	19.15494	20.37814
FAM49B	18.93422	19.95276	17.57619	18.3423	19.98245	15.92939	19.5499	19.47209	16.42321	19.26632	19.29437	20.42286	19.22268	18.3184	20.73355	20.04753	21.11401	18.35376
HDAC2	15.74851	18.00755	14.93769	18.65449	17.12202	17.36187	18.06334	17.31946	18.67656	19.18282	16.35327	18.41134	19.2827	18.54887	17.14489	17.88453	18.55048	19.89473
EIF3F	16.06767	16.80561	18.35514	19.72217	19.63419	19.63582	15.34794	19.62496	19.27016	16.7307	19.00618	19.90569	15.95204	19.26689	19.61814	20.72309	20.13834	17.38886
ENOPH1	18.76953	17.44803	16.10517	19.01433	19.06163	17.42248	15.74543	16.27527	15.90351	16.48915	17.50732	19.68498	18.79039	18.65934	18.88429	19.13325	19.10654	19.06495
G3BP2	17.71042	16.485	18.86487	18.68408	18.80294	15.67125	15.9777	16.89999	16.33738	15.68161	17.73549	19.20648	16.16991	20.97519	18.83883	18.82929	16.14878	16.59643
RPS15	16.43083	18.99868	17.64485	18.81953	16.80133	16.36756	17.8367	19.01214	18.16005	19.63594	17.93779	19.79682	16.75593	18.23243	19.66233	19.23011	18.90354	18.78762
FABP5	18.90847	18.90924	16.05729	17.30095	19.39914	18.85793	18.17334	17.09918	16.34013	17.50463	18.92233	18.49549	16.58744	21.36762	18.72447	17.30928	21.64381	17.12455
UBA2	18.58336	17.65982	16.91484	18.88956	16.26881	17.49517	18.43188	16.19055	17.07072	18.75961	18.00733	19.6009	19.03582	18.21656	15.54839	18.56399	16.40632	18.85078
CORO1C	19.33444	19.41334	16.2288	19.85244	19.5346	16.07363	18.79662	19.76005	16.93678	18.29728	20.33058	19.44865	18.16113	19.26121	20.50417	19.30269	20.11896	18.20036
DDX1	16.3845	17.15868	16.07977	18.35656	16.99269	17.34925	16.45175	17.99882	16.19643	18.36282	17.69581	18.0788	18.80152	17.86429	17.84485	17.36367	18.48251	19.29999
CHCHD3	19.48491	16.46294	19.65625	19.95802	16.25382	16.32784	16.59683	21.63201	17.37846	16.59396	16.43977	16.39003	19.68622	20.27458	17.35047	19.05592	20.48079	17.10994
GMFB	18.15906	19.26376	16.73147	16.53951	17.21885	16.06724	16.14609	16.32543	18.82724	18.71159	19.44233	19.88734	17.53632	20.49013	21.05079	20.24574	15.81817	17.7615
NDRG2	18.28866	19.32406	16.24707	18.48243	18.39557	18.23337	17.36914	17.30323	18.1083	16.46496	16.02272	16.53455	19.74352	17.56845	18.15388	17.79714	18.44827	18.75883
ENAH	18.50715	18.22501	17.74963	19.65367	18.38144	16.4961	18.47726	18.97391	19.96056	18.80916	18.76487	17.99573	18.18006	20.13333	19.04948	20.78772	19.86748	19.3346
CBR3	16.51416	16.04336	16.58798	18.34234	17.86234	16.28219	17.12435	19.95163	19.03631	18.81127	19.36414	19.24809	19.23227	17.78078	19.65892	19.99879	20.2781	20.36912
IGHM	16.95498	15.80956	18.4264	20.08486	20.60241	19.70964	17.29841	15.60763	16.55523	19.88466	20.28252	21.57796	19.64238	17.39171	19.0186	18.5723	18.31021	21.2422
SSB	17.21902	17.06184	19.79967	19.30488	15.12933	16.77579	16.33042	19.59543	19.54246	18.77581	19.15073	20.18204	16.75434	19.64208	16.71841	19.59032	19.90486	19.44871
ELANE	18.7029	18.98699	17.72074	16.48966	15.13769	20.57404	20.61117	20.37867	21.35235	20.59231	24.26799	22.43301	15.5366	17.01941	23.10859	19.68687	18.35264	23.04485
ANXA3	20.43115	20.44192	18.07164	20.29883	19.33908	19.09045	16.59735	21.53858	18.77317	21.98607	21.78907	18.45856	19.77071	21.18083	21.69188	16.78035	19.78976	21.62324
SGSH	18.03134	18.57312	16.49683	15.7093	19.09277	17.26876	19.28848	19.05227	15.65731	18.34798	19.03802	17.94232	17.83516	18.44803	16.139	19.62646	16.47016	17.56048
CTBP1	16.21791	18.36354	16.08495	19.50583	16.38463	15.29777	16.96756	17.99236	18.77803	16.03145	18.08794	18.13776	17.94861	18.1329	16.21854	18.51961	17.59062	17.14977
UGP2	18.6748	15.96929	20.27207	19.1794	18.70273	17.36469	16.04731	18.56711	17.12262	19.6917	18.62899	19.22084	19.98176	18.64068	21.58706	19.70563	23.02631	21.66661
CCT7	17.11461	16.22697	16.442	20.33484	17.3065	15.76654	18.99081	20.10929	16.71463	19.04519	20.06947	20.76531	20.95376	20.60937	20.22187	20.50339	22.63878	21.40821
PFDN2	18.79268	16.59851	15.54118	18.5588	17.16678	16.72064	19.4186	19.66913	19.65751	19.58378	20.20275	20.82423	19.47487	19.98663	20.37549	19.57559	20.54943	18.73797
MRPL11	17.24506	16.96822	16.04932	16.20391	16.75041	16.92422	17.39944	19.30663	18.82112	18.20309	19.89236	19.3037	17.49841	19.95205	18.61259	19.82079	18.54593	17.81032
LEMD2	17.47918	16.15358	17.64716	17.72601	17.50005	19.16526	18.21324	17.93301	18.3018	18.31168	16.97511	16.97925	18.7411	17.39213	15.85704	15.69823	17.28057	18.45065
RASAL2	19.96198	16.31182	15.21719	18.98293	16.2496	15.58068	19.57816	18.82836	15.75517	19.71725	21.7617	20.14967	19.46228	19.98995	20.97911	20.88933	15.96365	16.07848
EIF3C	17.06058	18.20953	18.35285	19.99521	17.664	16.73816	16.90333	17.47991	18.47643	17.87807	16.45957	19.56065	17.92752	16.56004	18.69401	16.72647	19.30298	19.17633
STOML2	17.90001	16.67474	17.06217	16.0428	16.54236	16.05513	18.15946	18.15546	16.58266	18.86448	18.93192	20.29491	17.30421	18.50032	20.22294	21.58174	22.75666	20.57108
