Gene	ER	ER.1	ER.2	ER.3	TNBC	ER.4	TNBC.1	ER.5	ER.6	ER.7	ER.8	ER.9	TNBC.2	ER.10	ER.11	TNBC.3	ER.12	ER.13	ER.14	ER.15	TNBC.4	ER.16	ER.17	ER.18	ER.19	TNBC.5	ER.20
APOL1	-0.693091733	0.535169322	-0.22604784	0.242236169	0.73000054	0.074544331	-0.822258547	1.074161307	-0.300464775	-1.372495621	-0.180496311	-0.677782873	-0.049454338	0.017835667	-0.343096261	-0.00616339	-1.506647889	-0.121120797	-0.155920954	0.368044492	-0.073732221	0.193288324	0.925130843	-0.009913555	-0.83382127	-0.676283763	0.103488227
APOL2	-1.921669049	0.917882791	-0.464419594	0.618182294	-0.264614706	-0.428579499	-0.283646652	-0.350940398	-1.02844544	-2.284844391	0.325000853	-2.028298836	-0.255652818	-1.413497733	0.17424374	-0.075532143	-1.129006124	0.716519336	0.110492636	-1.863002089	-0.632405067	-0.931770369	-0.890961458	0.233355437	-1.856710637	0.089383732	-0.876271729
APOL3	-0.844957045	1.27156008	-0.423222425	0.15627023	-0.628110775	-0.876436062	-0.295787184	-0.223534539	-0.792899508	-0.666628781	0.166567618	-0.199659898	-0.614103392	-0.131097764	-0.506693224	-0.265850399	-0.721286279	0.634517638	-0.123151766	-0.816671327	0.802741058	-0.685264764	-0.293611445	-0.508878913	1.465225806	0.604844595	-0.882375854
APOM	-0.440809461	0.295971188	-0.083883955	-0.307179394	0.132628682	-0.1106608	-0.825023861	0.648933282	-0.043551123	-1.239029812	-0.372876942	0.118651825	0.072722156	-0.417572095	0.036506314	0.164055144	-1.242223301	-0.049207546	-0.396937546	-0.078093341	0.023177658	-0.086250397	0.769710774	0.237543053	-0.717576178	-0.255559767	-0.096945823
APOO	0.879480739	0.168958073	0.097022635	-0.29210092	-0.083310045	0.146765758	-1.191243252	-0.191130392	1.022794015	-0.037625833	0.0658651	1.300680666	-0.275457623	0.707881032	0.08916883	-0.512524009	1.000894363	0.106763576	-0.310149421	0.936883302	-0.013329324	-0.316184701	-0.206285972	0.053538703	0.942382352	0.201228615	-0.404745071
APOOL	0.797608552	-0.043988328	-0.059114944	0.361815449	0.186813793	0.325058786	0.983100488	0.011994475	0.913863538	0.327448167	-0.203821156	0.236969888	-0.04237778	0.739321916	-0.133519033	0.013265996	0.371061171	-0.225222896	0.213140036	0.699225006	0.457891264	-0.252746866	0.10733983	0.18733266	0.52749095	0.281404332	0.075459786
APP	-0.735384199	-0.969205245	0.217943592	-0.694626932	0.285252048	-0.887404573	0.277770553	-0.335668899	0.472990084	-0.91324348	-0.217165188	-0.387678385	0.076143281	0.129582694	-0.025165984	0.229694446	-1.098850581	-0.917861617	-0.438168163	-0.501433188	0.212971576	-0.135003852	-0.275708899	0.515532927	-0.931009078	0.603189877	0.100512177
APPBP2	0.975317619	0.253002098	-0.278204881	-0.33515139	-0.445250976	-0.084382764	-0.734903198	0.244472473	-0.034145271	-0.013126678	0.028850514	-0.16776062	-0.12061418	0.571319592	0.174748453	0.017964256	-0.21801461	0.336754186	-0.052374765	0.806725211	0.143272614	-0.138196025	-0.010330014	-0.591683589	0.128090079	-0.234949969	0.790051953
APPL1	0.726126467	-0.103443348	0.369441786	-0.066405806	0.031402704	0.543514541	-0.335242014	0.497415404	0.391414528	0.349756247	0.083058805	0.395596971	0.135786054	0.474796821	-0.236985976	0.064071976	0.340535396	0.26417274	0.465568163	0.463272521	0.089864651	-0.268693558	0.363687268	0.391052144	0.431285173	0.097292594	-0.071288266
APPL2	1.441917427	-0.051246554	0.547961706	0.118627531	-0.259734569	0.156558513	-0.590321216	0.428443883	0.378962077	0.667776674	0.065651103	0.679680689	0.141618643	0.640417212	-0.199252088	0.046394977	-0.110541864	-0.160713584	0.161581628	0.454975252	-0.07030382	0.153331552	0.421514948	-0.243548445	0.540817651	0.113812844	-0.193024281
