Gene	ER	ER.1	ER.2	ER.3	TNBC	ER.4	TNBC.1	ER.5	ER.6	ER.7	ER.8	ER.9	TNBC.2	ER.10	ER.11	TNBC.3	ER.12	ER.13	ER.14	ER.15	TNBC.4	ER.16	ER.17	ER.18	ER.19	TNBC.5	ER.20
A1BG	1.452018241	-0.094081962	-0.294712294	0.248477457	0.276449871	0.526289507	-1.019170896	1.207694938	0.112224272	0.504064919	0.044298832	1.060462993	-0.121837242	1.528963287	-0.664220746	-0.081230625	-1.2778861	-0.0181497	0.158125901	1.935021673	0.127086844	0.038705976	0.990479607	-0.440432023	0.911289949	0.07886897	0.019959404
A2M	0.954025147	0.078037673	-0.538030812	0.314598909	0.267318562	0.053600611	-1.134524248	0.823111614	-0.366697771	0.078795955	-0.726900157	0.620224152	0.336987842	0.815666456	-0.32008445	0.327638827	-1.800291598	-0.311026916	-0.428947454	1.137053972	-0.084779645	-0.991436428	0.587425847	-0.409907393	0.886771343	0.008372607	-0.618841994
A2ML1	-0.568482868	-0.479446104	-0.790745441	-0.843588875	-0.301247332	-0.841621428	2.520400533	0.134608597	-0.886137586	-0.916630971	-1.034705575	0.349614329	0.828975738	0.01987388	-0.984842929	0.879974979	-0.712340638	-0.842805015	-0.418364447	0.107258393	0.957455898	-1.156269259	-0.815484765	1.311927173	-1.329975226	0.779754838	-0.252248929
AAAS	0.704046382	-0.140837909	0.159826757	-0.394540092	-0.376718813	-0.251519705	0.27415747	0.0574744	0.227362879	1.048786499	-0.002716376	0.985917171	-0.044430305	0.52994705	-0.385764063	-0.075927812	0.339633241	-0.022888983	-0.167384006	0.558478083	0.521540406	0.431915135	0.009275342	0.06230937	0.724148865	0.252777614	0.086946407
AACS	-0.530189347	-0.05331012	-0.158634732	-0.578711566	-0.741819268	-0.46600721	-0.479431441	-0.389819687	-0.482495482	-0.03244375	-0.737749155	0.614975893	0.03060211	0.145649457	-0.200546689	0.166027801	0.099568855	-0.257341039	-0.660919996	0.106831656	-0.336152736	-0.009627654	0.151842876	0.062634101	-0.422899706	-0.382467743	-0.547572485
AAGAB	0.11326221	0.102970688	0.349281946	-0.524779006	-0.511092191	0.248536477	-0.550094978	-0.141638303	0.370310549	1.020763618	0.00190229	0.298058344	-0.599544657	0.469236253	0.21772715	-0.278064038	-0.103099083	0.123048142	0.123067416	0.720265559	0.275708898	0.639509802	0.000837449	-0.394203809	0.809582025	-0.342115536	-0.479063892
AAK1	0.054872003	-0.138152792	0.169659185	-0.039957253	-0.174008676	0.151214322	0.190083642	0.20367765	0.283132495	0.344552581	0.006880422	0.266956567	0.268793007	0.348110287	0.045686898	0.170243529	0.068978709	0.146290908	0.336608011	-0.022660415	0.309437631	-0.040754672	0.167910508	0.240580816	0.522737655	0.162114499	0.231227075
AAMDC	-1.282585982	-0.784890602	-0.288814643	0.750534409	0.416589472	0.627484109	0.468606167	-1.176727506	-0.014182772	-2.353329462	-0.08766196	-1.795629494	-0.20405925	-0.530634555	-1.075658784	-0.301957574	0.495541951	-0.820942314	0.645707744	-1.557034403	-1.122871182	0.180914881	-0.358281746	0.000418467	-1.987719011	-0.426935875	-0.119931589
AAMP	0.326804258	0.410416516	-0.070475438	-0.33561324	-0.06527661	-0.246360973	-0.367328741	-0.101430359	-0.159495632	0.54315557	-0.093572901	-0.267242398	-0.003979765	0.126723519	-0.164233636	-0.196183343	-0.142240191	0.034792125	0.016784451	0.001203891	-0.1359612	0.36498136	0.06370082	-0.036587871	-0.453073386	-0.22051785	0.10679893
AAR2	0.66272088	0.260760926	-0.216071764	-0.24340923	0.041578313	-0.473938535	-0.462102859	0.041639213	0.461676793	1.801505306	-0.296145055	1.095130549	-0.053326214	0.424778349	0.044369094	-0.005120629	-0.193574058	-0.093334046	-0.209333144	0.597560972	0.162325013	0.226499617	-0.065851661	0.195571648	1.13535669	0.042359427	0.191913136
AARS	-0.455349789	-7.2e-05	-0.040112782	0.062642145	0.109576986	-0.147879867	0.068023901	-0.134561891	-0.138624399	0.73628352	-0.300263716	0.186725777	-0.119900963	-0.052618873	0.427515096	-0.113165506	-0.203941245	-0.048910244	-0.318673482	-0.017332009	1.052453946	0.229458753	-0.103740274	0.454855384	-0.107056384	0.376944434	-0.155814524
AARS2	-0.004862311	-0.11909117	0.158101903	0.01260096	-0.142371181	-0.061303182	0.522228014	0.106675501	0.262860731	-0.264305966	0.061706235	0.150141018	-0.123363447	-0.194948618	-0.628396347	-0.147070137	0.478699307	-0.087867396	-0.220583358	-0.107516705	0.414735838	0.080135127	-0.152722536	0.390320223	-0.028270798	0.300499009	0.232317781
AARSD1	0.29032535	-0.282149653	0.046532416	-0.198509942	-0.304947908	-0.314826327	-0.613115464	-0.049568806	0.235067689	0.105736632	0.330335759	-0.112445816	0.007247037	0.210596032	0.082136929	-0.05185039	0.208909894	-0.218779546	-0.024756265	-0.14111924	-0.068190182	0.414492945	0.074595894	-0.270686894	-0.094788296	-0.273137635	-0.273900398
AASDHPPT	0.499115712	0.036485906	0.226619364	0.754258017	-0.224556815	-0.271963585	0.088538059	-0.193461557	0.211393242	0.818113462	-0.281839203	0.294216473	-0.081853284	0.59082857	-0.52266456	-0.044431847	0.24514347	0.142405846	-0.105708231	0.322590199	0.330646837	0.152520045	0.091104909	0.534934331	0.675088657	0.172581319	0.136425775
AASS	-0.456861025	-0.241724853	0.111131393	-0.015028603	-0.01150585	0.017840385	-0.394190001	0.748817181	1.387179469	0.570440588	0.098598577	0.334149069	0.018081344	0.033559639	-0.272621638	-0.290299353	-0.541828207	-0.169756834	0.566790492	0.618205433	-0.047419171	-0.141802218	0.601537426	0.174339164	0.428687487	0.201682675	0.341392493
AATF	0.443727612	-0.370340249	-0.343056996	0.028859661	0.133464422	-0.169328332	0.704608301	-0.045465416	-0.154173097	0.201891517	-0.323478247	0.690384029	-0.461151157	0.459352081	-0.102726632	-0.423606002	-0.040601064	0.276962444	-0.265815571	-0.046770212	0.533218781	-0.157168767	-0.163895192	0.388093333	1.027308854	0.025463261	0.069592949
ABAT	-0.793211895	0.62418152	1.519948572	-0.40136301	-1.205385823	0.667007538	-1.810175991	-0.076189023	1.564034876	-0.100552596	1.071063757	-0.077485791	-1.050600025	-0.84465842	-0.232355977	-0.642096165	0.867474391	-0.926591614	0.043622838	0.609075101	-1.415121013	-0.223912259	-0.609863202	-1.984211287	0.214603797	-0.891582306	-0.602135875
ABCA1	NA	0.108952705	-0.233015659	-0.119022455	-0.260952035	-0.182724529	-0.02469127	0.598767454	-0.281109082	1.513830441	NA	-0.628671937	0.25885017	NA	0.356233399	0.494013892	0.62290531	0.31412609	-0.511623036	NA	0.097918393	-0.035538071	0.437681394	0.209994235	-1.633120813	0.263350039	-1.023851322
ABCA2	1.872947874	0.254274074	-0.314735346	NA	NA	NA	0.150825691	-0.553360978	NA	-4.507171234	-0.174114367	-0.267816648	0.25885017	NA	-0.058054142	1.655409112	0.730496558	-0.084124871	-0.257572239	-0.951681395	0.133118969	0.257786637	0.268653741	0.000328539	-0.944787434	-0.411493798	-0.356088254
ABCA3	NA	-0.413499782	0.73310622	-0.180898538	-0.661799429	-0.693476864	-0.29012995	0.238106432	0.038256948	1.477545863	0.130275386	-0.749170155	0.125915772	0.68314034	NA	-0.10455127	0.739546669	-0.040118631	NA	NA	0.8008056	0.094088337	0.137239948	0.273642287	0.632678265	0.080277852	-0.24106214
ABCB10	-0.51088758	-0.126273987	0.200022117	-0.209680552	-0.1323319	-0.064961004	0.23673075	-0.38031519	-0.301212392	-1.232980028	-0.428031184	-0.117356672	0.013254493	-0.141826934	-0.148579918	0.14210521	0.577351486	0.061703636	0.089228155	-0.305173829	0.360115441	-0.015378791	0.035312218	0.64795735	0.473675418	0.663008243	-0.72274523
ABCB6	-1.199283877	0.248262055	0.057184623	-1.325648098	-0.833469183	-1.553320774	-0.076884397	-1.060381332	-0.333661109	-0.611330092	0.001618957	-1.467991924	-0.049694857	-0.308310877	-0.590727978	-0.063725813	0.599074634	-0.385036241	-0.27568475	-0.934355331	-1.053891102	0.110177683	0.087568905	-0.871102401	0.260240928	-0.421971625	-0.622663037
ABCB7	-0.995315199	0.286705561	0.516195941	-0.56210808	-0.243010782	-0.215845752	0.259398683	-0.197745716	0.460166771	-1.236249179	-0.108657353	0.417389874	-0.56031743	0.50800263	0.053998703	-0.587877691	0.969430929	-0.047393557	-0.031161214	-0.381838347	0.214623304	0.205034713	-0.057286944	0.492428832	-0.746963471	-0.457326266	-0.463500931
ABCB8	-1.525640374	-0.220477942	-0.154150332	-0.553497804	-0.676479715	-0.692406341	0.212320728	-0.801095014	-0.280892327	-0.337227936	-0.195118742	-0.552920624	0.211311538	0.073716871	-0.169911001	0.202195854	0.553120203	0.112450045	0.1482675	-0.167917046	0.066342226	0.168310022	0.035954349	0.810271363	-0.447849327	-0.145380393	-0.494390186
ABCC1	-1.009439863	-0.108883262	0.726221882	-0.205032305	-0.405200232	-0.120113312	1.138809316	-0.197778746	0.731761703	-0.158432217	0.102294016	0.495447044	0.160701646	-0.092989733	0.425151529	-0.018612887	0.012408692	0.043547076	-0.118080782	-0.313035111	-0.419248133	0.00060796	-0.292386445	-0.082806768	-1.087993373	0.089856283	-0.102613598
ABCC11	-1.525640374	-0.28540617	1.434010969	0.045773376	-0.395193526	-0.139452917	0.345911758	-0.801095014	-0.662662492	-1.841746237	-0.363980581	-0.301362789	-0.075231483	-0.00903884	-0.277795658	0.179347033	-0.410862943	0.203688779	0.429329221	-0.735662432	0.178745296	-0.354833235	-0.005721834	0.145120451	-0.933051817	0.816728676	-1.17028147
ABCC3	-0.074520227	-0.077670258	0.666520285	-0.551961103	-0.407153564	-0.326677434	0.612104242	-0.094500093	-0.166477619	-0.595280522	0.293093303	0.16396668	0.620362272	-1.45611537	0.206249448	0.672670961	0.429788471	-0.026740218	-0.107336051	-0.40326689	-0.621280415	0.704779457	-0.049944048	-0.214560288	NA	-0.444672201	-0.059884236
ABCD1	-0.19732413	0.559920624	-0.176460662	0.161511686	-0.288467781	-0.578522107	-0.388065092	-0.583757452	-0.401911392	-0.35626493	-0.038092271	-0.349808897	0.430178679	0.152139177	0.071086253	0.162462564	-0.512937117	0.357191168	-0.383818016	-0.384998806	0.087782765	-0.505082116	-0.204296099	0.45724349	0.410475321	0.296563082	-0.845011052
ABCD3	-1.586354994	0.244530885	0.755099203	-1.094244293	-0.855993203	-0.878518251	-0.669031388	-0.85062465	-0.067689764	-1.1964058	-0.043777698	-0.865228433	-0.67125908	-0.825948866	-0.148522697	-0.447671422	0.746277035	0.15263548	-0.928719478	-1.299096725	-1.065454872	0.616427177	-0.780766962	-0.29242731	-1.12651554	-1.089362096	-1.384553017
ABCE1	0.122836067	0.080792245	0.071877463	-0.118568401	-0.028726925	-0.163068763	0.542591366	-0.218140099	-0.270920799	0.582781617	0.019002339	0.210022449	0.012104673	0.297199907	0.101075384	0.073367996	-0.190441748	0.058873516	-0.017411599	-0.008840116	0.604570662	-0.003858715	-0.089599956	0.846794784	0.028163248	-0.304779477	0.387930247
ABCF1	-0.020024632	-0.103296789	0.081952766	-0.093069212	0.443625385	-0.018256071	0.091804567	-0.202847472	-0.199629595	-0.564673352	0.051437562	-0.29528583	-0.05214159	-0.117105127	0.147415093	-0.041182357	-0.000460924	0.116450031	-0.421478608	-0.260614865	-0.276133132	0.17590433	-0.049227032	0.208319033	-0.120633152	0.156934385	0.0358507
ABCF2	0.176046633	0.044782887	-0.008848645	0.145700394	0.295916045	-0.158562427	0.466971359	-0.039206022	-0.167757563	0.147248315	-0.005436018	0.193119545	0.015536071	0.027757604	0.356763028	-0.015828572	-0.104405037	-0.072865291	-0.340030101	-0.130067715	0.193102232	0.08762423	-0.149410914	0.228897578	-0.274781085	-0.349221576	0.322574676
ABCF3	-0.39563236	0.018236203	0.335799246	-0.008417324	-0.056026249	0.143823344	-0.050096392	-0.168568679	-0.042277027	-0.344209832	0.031075847	-0.166096498	-0.217547899	-0.412775271	-0.233298198	-0.155115414	-0.009222345	-0.042321283	-0.152132573	-0.549708119	0.079653993	0.20021702	-0.075119558	0.434407992	0.014623399	-0.186192781	-0.012603911
ABHD10	0.876115512	0.457737484	0.293729451	-0.46023492	-0.149555924	0.145210979	0.615044729	0.102461233	0.76717518	0.660785942	0.096053027	0.689072624	-0.368780893	0.94742671	-0.033652791	-0.482521434	0.455187788	-0.18861952	0.054858593	1.017073311	0.335021694	-0.33958418	0.233395505	0.574572202	0.954260714	0.388837989	-0.127560969
ABHD11	0.661372609	-0.479829802	-0.090141632	0.288943025	0.302417193	-0.173477513	-0.67268472	-0.241584853	0.129937696	0.558091513	-0.075949302	0.263344323	0.165795147	0.153858554	-0.366398584	0.035408236	0.256317044	-0.680983622	-0.327278605	0.712232992	0.13758614	-0.763180599	-0.430647711	-0.000733335	0.988716943	-0.52855344	-0.736809075
ABHD12	-1.861290174	-0.076382331	0.548996645	-0.141389572	-0.604214658	-0.429164624	0.385179219	0.073470548	0.369391046	-0.871641018	0.524903135	-0.477447357	0.019188511	-0.390236068	0.043930092	-0.0429901	0.613432491	0.059997709	0.328140936	-1.264091732	-0.133173821	-0.01286609	-0.222795369	0.257202681	-1.161831711	-0.216644218	-0.580895336
ABHD14B	1.501466359	0.10564704	0.267593767	0.083540699	0.06125758	0.408514391	-0.788395073	0.2814951	0.394290202	1.622520879	0.164461279	1.3374987	-0.112269109	0.741898789	-0.177273512	-0.197941472	0.134272304	-0.743096193	0.051396514	1.773328952	0.091879651	0.47645344	0.208405996	-0.454595419	1.12976387	-0.139486182	-0.578848609
ABHD16A	-0.475749372	-0.210256653	0.314976969	-0.308957156	0.029958266	-0.296840128	0.537235592	0.028684219	0.079578413	-0.394011274	0.053496358	0.07003033	-0.353335406	0.080386229	-0.144133899	-0.119304592	1.309813956	0.228988694	-0.237662832	-0.022987507	-0.426643339	0.05621883	-0.177408895	-0.068291096	0.128891365	0.355393421	-0.288103311
ABHD4	-0.363603627	0.206050195	0.046802386	0.361579882	0.031699532	0.027510373	-0.375574562	-0.184628482	0.014876906	1.394088541	-0.100300466	0.093689379	-0.069668503	0.796289499	0.256260845	-0.270961781	-0.050094079	-0.041990601	-0.010625676	0.833499073	0.253528678	-0.011081515	0.436179479	-0.248550458	-0.510255507	0.018635281	0.174958396
ABHD5	-0.032151306	-0.476186969	0.620509828	1.352897354	0.499111017	0.325271377	0.702606228	0.093731042	0.537334131	0.416952185	0.537143662	-0.253339797	-0.402322896	0.266083652	-0.526140565	-0.297153935	-0.666386598	-0.15978999	-0.22788075	0.725714113	-0.032874737	0.309034844	0.893004383	-0.226372399	1.52309615	-0.128185919	0.458108094
ABHD6	NA	0.071201982	-0.406179839	-0.128956851	-0.003509706	0.035669839	-0.788987614	0.660794736	-0.105103068	-0.819843847	0.172084359	-0.648988798	0.176888182	NA	0.35289039	0.308871029	-0.3534921	0.104848701	0.211618355	NA	NA	NA	NA	-0.083052172	-0.254815299	-0.035621326	0.108285971
ABI1	0.379572139	0.033703604	0.067091704	0.091615923	0.146032385	0.17051521	0.142190498	-0.000123541	-0.284614297	0.238496409	-0.006915539	0.019702586	0.284713963	0.558053071	-0.189030424	0.261260715	-0.088760766	0.103155734	0.072718578	0.375643476	0.38404132	0.000682904	-0.013077593	0.085613128	0.061949699	0.040815708	-0.12540159
ABI2	0.4401565	0.035847966	-0.030798752	0.022384349	0.175089862	0.293141847	0.598063762	0.24791048	-0.036946265	-0.335602084	0.313930263	-0.49176319	0.118103149	0.189195896	0.054835629	0.538436173	0.184808899	0.022901062	0.451789959	0.459029349	0.101678243	0.062583769	0.338218872	-0.108996284	0.128026923	0.108162951	0.028769773
ABI3	-0.085713567	0.243814427	-0.221754362	0.260700657	0.138558666	0.42436299	-0.173451319	0.165955525	0.003217228	1.057935317	0.018562307	-0.040781594	0.138718883	0.608435873	-0.209859394	0.167579241	-0.276289534	0.686461199	0.630864661	0.32410936	0.741580734	-0.057870752	0.048699858	0.758912657	0.937158483	0.752391921	-0.235832387
ABI3BP	1.503663864	-0.18910376	-1.098505464	0.809518714	-0.090081928	0.487040719	0.146801229	1.795298263	-0.78520504	0.357176262	0.308647997	0.223790359	-1.062830302	0.373299791	-0.79278014	-1.154229108	-1.212895838	0.768368842	1.121221687	2.005098192	-0.498103878	0.424458973	0.896421627	-1.458584422	0.912028978	0.102900251	0.150060612
ABL1	-1.168225489	0.347903329	0.154430013	0.118881081	0.269608457	0.039140856	-0.05870089	0.367372686	-0.104265308	0.824093645	0.260748217	-0.246025285	0.160824494	-0.549557896	0.525206999	0.178726013	0.293829083	0.100566768	0.0436409	-0.465198522	-0.868483381	-0.001441677	-0.16580483	-0.088877839	-0.437317187	-0.147175697	0.353246793
ABL2	0.095791712	0.010323962	0.098197554	0.076303576	0.340701302	0.103081673	0.033420448	0.136923541	-0.349079798	-0.326811227	0.033732982	-1.665188427	0.182321675	-0.547845798	0.301630832	0.032591564	0.381998936	0.122796314	-0.048317594	-0.656704511	-1.160220811	-0.116649175	-0.398389276	-0.019172437	-0.867252547	-0.091812319	0.212515896
ABLIM1	0.000253214	-0.996085771	-0.621726431	0.313247741	0.166466014	-0.073102959	0.238147928	0.83828609	-0.290839038	-0.1770957	-0.050858627	-0.063576409	0.533285602	-0.04026971	-0.59895746	0.441130136	-0.929303159	-0.323876793	0.33637048	0.579521868	-0.399987616	-0.153564329	0.591846388	-0.1567446	-0.227809531	0.077326837	-0.221997233
ABLIM2	-0.508362935	-0.170596763	-0.451779882	1.1216557	0.598384448	1.008618505	0.184188338	0.760005487	-0.146090073	-2.058167082	-0.150103353	-2.021311674	0.728753307	-1.463733235	-0.294734844	-0.103426356	-0.320224394	-0.079748174	0.343639939	-1.685006522	0.238744533	-0.050621287	0.817582751	0.375380549	-1.405054451	0.082988447	0.454368134
ABLIM3	-0.062852752	-0.221997569	-0.100097282	0.248295159	-0.104180805	-0.059639987	0.10395184	0.424351532	0.085398858	-0.157095137	-0.271164739	-0.915308977	0.661420968	-0.521973528	0.087597069	0.012930286	-0.069317232	-0.567552363	0.195654712	-0.046569043	-0.854977292	0.578762403	0.727337501	-0.652027135	-0.429215317	-0.064108053	-0.59717533
ABR	0.167170688	0.100705763	-0.299626654	0.020454528	-0.059655184	0.328029319	-0.705737936	0.081829066	0.203025271	0.015843089	-0.08281683	-0.413478375	0.187262908	-0.010082446	0.38339109	0.233397984	-0.014793271	0.332392988	0.151988961	-0.009700933	0.110083522	0.398367916	0.216307878	0.217128016	0.462854491	-0.007319196	0.293029754
ABRACL	0.641695256	-0.56621983	-0.368238858	-0.552829811	0.417583131	0.034334125	-0.206426417	-0.573284656	-0.020859416	0.360899478	-0.450989642	1.176742616	-0.017043106	0.293107148	-0.33555542	-0.105734153	-1.19669215	-0.265956717	-0.495949849	0.938968328	-0.17715804	-0.99334047	-0.354372594	-0.191095843	0.434596553	0.512655285	-0.670146456
ABRAXAS1	-2.033727594	0.433453087	-0.209750674	0.110960448	-0.13228129	-0.080153185	-0.148036965	0.275668797	0.352926819	-1.235310108	-0.405155959	-0.358536519	-0.112987645	-1.19196408	-0.180634837	-0.140839357	0.707942124	-0.068596532	0.300177532	-0.70511201	0.268885745	-0.281510433	0.035610381	0.239640045	0.615080225	0.400061155	-0.559831063
ABRAXAS2	-0.470344999	-0.045608536	0.317308683	0.039716737	0.046236148	0.206454571	-0.160091191	0.194508842	0.046335984	-1.320735484	0.314127618	-0.54940744	0.082033855	-0.452654684	-0.053984911	-0.109187741	0.137299975	0.019017294	0.534179382	-0.314210954	-0.188985939	0.223330487	0.120845814	0.052486982	-0.509882391	-0.011175697	-0.113283604
ABT1	0.755839397	-0.190282356	-0.203433658	0.118378068	0.488046222	-0.252436735	0.924335556	0.169295622	-0.486024105	-0.180293605	-0.587724743	0.413563506	-0.062400701	0.59776835	-0.139088198	0.145496555	0.085256175	0.278855359	-0.47417381	-0.625158644	0.626707306	-0.186513136	-0.373115248	0.51042361	0.095574067	-0.165844247	0.027459047
ABTB2	0.861833936	-0.089430954	-0.254808627	NA	NA	NA	-0.380162082	-0.764818871	NA	-0.352753215	-0.342247076	-0.166472631	0.419976516	-0.571732332	-0.24582225	0.359832602	-0.956982183	-0.161752514	-0.356564848	NA	-0.644219294	-0.444193861	-0.645379495	-1.473749948	NA	-0.091473523	0.348253535
ACAA1	1.15795095	0.113369939	0.575747201	-0.034688564	-0.242313272	-0.085106373	-1.098974022	-0.08890408	0.282237012	1.062285144	-0.044658852	1.084812361	0.130930571	0.85834646	-0.299487077	0.125445471	-0.697855115	-0.465079649	-0.470069446	1.111902436	0.053054174	0.088499221	-0.039370035	-0.211119121	0.851845162	-0.628232707	-0.052413739
ACAA2	0.472810489	0.282375661	0.096370204	0.867435265	0.495262321	0.1583432	0.451303063	-0.06055853	0.981013702	0.301390787	0.040522576	0.256988382	0.620660504	0.661967055	-0.336582574	0.539012465	-0.659980465	0.214095617	-0.0255186	0.190495222	0.242593933	-0.145249057	0.441754631	0.346559495	0.798567593	0.252151165	0.37944663
ACACA	0.396908398	0.049823355	0.00745166	-0.675384908	-0.355065222	-0.591635455	-0.600047701	-0.088678294	-0.487017155	1.137547501	-0.194560237	0.161364205	-0.174732597	0.037759877	-0.477304411	-0.155633636	-0.177163955	0.300153208	-0.350705091	0.054372001	0.006801403	0.096950052	0.171738443	-0.409212771	0.111752013	-0.541791782	-0.372436777
ACACB	0.854269922	-0.081360381	-0.112838767	-0.047439222	-0.09887708	-0.096784641	-0.738794938	-0.273022582	-0.586013684	1.284410839	-0.169234525	0.55464551	-0.179458809	0.013262392	-0.456501522	-0.285992306	-0.27180065	0.260308862	-0.082131793	0.438404619	-0.058963473	0.228996326	0.69317937	-0.445170498	0.641530179	-0.356846323	-0.121096753
ACAD10	-0.135002214	0.39078179	0.246427303	-0.152607231	-0.144605358	-0.403822923	0.297826996	-0.126812215	0.160749862	-0.147484436	-0.075620065	-0.649811367	0.072961582	-0.245830825	-0.185814387	-0.048737804	0.188669964	0.152180452	-0.500467749	-0.05531559	-0.059858061	0.134446418	-0.245814758	0.147009387	-0.272353286	0.204622387	-0.212082039
ACAD8	0.359856651	-0.074764142	0.520857051	0.270916431	-0.115458464	0.046868368	1.127651886	0.12763537	0.45662576	-0.084585545	0.092380582	0.079594298	0.074337129	0.141371694	-0.277112983	0.08578703	0.399093941	0.166101188	0.238518599	-0.41152959	-0.534650841	-0.205932103	0.128494731	-0.59047686	-0.339374177	0.296603132	0.021982736
ACAD9	-0.202133394	-0.39958933	-0.105829705	0.017302491	0.012772467	-0.140540502	0.538584091	-0.125493107	0.090307205	-0.833872062	0.25172377	-0.264421629	-0.334755938	-0.276761883	-0.126999755	-0.256239176	-0.198710356	-0.220264762	-0.173199731	-0.434516802	0.574277876	0.132816505	0.03866148	0.451125347	-0.071609205	0.632287557	0.023534798
ACADM	0.117271544	-0.143024436	0.152426455	0.309154794	-0.072301963	0.111167841	0.266834508	0.079439817	0.52972336	0.031221499	0.599649699	0.060951154	-0.268820973	0.137504318	-0.152867931	-0.275273727	0.283082776	-0.282137048	0.039322417	0.732305589	-0.234032719	-0.854201545	0.098084465	-0.368886121	0.033599252	0.154218856	0.033452151
ACADS	0.737901566	-0.738975385	0.123456161	0.205385567	-0.151554102	0.313721522	-0.407833086	0.177079036	0.994911924	0.837521175	-0.629719234	0.890111481	-0.579256873	0.045731515	-1.206887733	-0.532683272	0.262659546	-0.098749361	0.234907975	1.044156986	0.215119472	-0.118456891	0.2958183	0.531977802	1.158925702	0.136664816	-0.301518919
ACADSB	0.209026216	0.270771169	-0.354026108	-0.386709255	-1.393183306	-0.467064662	-1.895481846	-0.091184083	0.576836728	0.755115307	1.139331737	0.210907753	-2.311566271	-0.06634	0.082389059	-0.973431835	-0.151666523	-0.762624035	-0.24882811	-0.558282575	-1.514905418	-0.73814245	-0.515764245	-1.211525882	0.234694521	-1.100902252	-0.884333577
ACADVL	0.515020786	-0.586284839	-0.046024855	0.162409371	0.48170871	0.097925669	-0.68056332	0.027443366	0.588865809	1.018767688	0.154786812	0.109081498	-0.063456227	0.389840548	-0.428558889	-0.06298522	-0.310237131	-0.249293462	-0.032909534	0.033745364	0.216745163	0.174734624	0.400316781	0.31514541	0.528963073	0.031034977	-0.078641161
ACAN	-0.293240894	0.068834233	0.162271229	-0.634285798	0.862662037	-0.315271971	-0.092821961	0.502794522	0.23389613	-0.639931392	0.294540877	-0.003127412	0.23630142	-0.773117782	-0.022462388	-0.24400243	-0.772979523	0.220038457	-0.167879437	0.131242525	-1.006171748	0.458794595	0.150639584	-1.226694618	-2.319529201	-0.459729509	-0.369312052
ACAP1	0.052989812	0.577760558	-0.668038395	0.160573363	0.147083539	0.0720578	0.075996287	-0.031662525	-0.293726618	-0.396991381	-0.314267117	-0.271083617	0.517983787	-0.232917578	-0.631846928	0.348823539	-1.072247421	1.104486719	0.48983732	-0.100348753	0.038862212	-0.604856941	-0.424145201	0.54692906	1.459164854	0.76522342	-0.344990861
ACAP2	-0.322808371	0.052226122	0.097494766	-0.023914069	0.093913151	0.171635697	0.042934741	0.045190794	-0.103722028	-0.567009695	-0.052452466	-0.402734139	0.098613011	-0.115116579	0.010979739	0.090219062	0.207996555	0.275233362	0.08536717	-0.048875437	0.27149647	0.040243863	-0.017808036	0.600581406	0.145009065	0.346708398	-0.033614737
ACAP3	-2.644794799	0.074225314	-0.232068994	0.318394926	0.132067121	0.072330365	-0.635435184	0.308688316	-0.463525591	-3.456932436	-0.24140668	-0.945824741	-0.02031948	-0.426532202	0.704913258	0.211603616	-0.288098885	-0.132224483	-0.358207734	-1.815345044	-1.005347779	-0.136907392	-0.302604094	0.191880228	0.665553472	0.077939334	0.094842077
ACAT1	-0.287351094	0.071087436	-0.3797192	0.764288194	0.159490508	0.02779298	0.1648863	0.356852638	1.132469597	0.011509872	0.486890761	-0.174321089	-0.206641796	-0.123510168	0.052814646	-0.169631725	0.351000358	-0.259194151	0.033291652	-0.17242748	-0.104965705	0.477728478	0.365062854	0.266461014	-0.051069704	-0.093070067	-0.017180149
ACAT2	0.327264807	0.211888721	0.16575572	-0.050193465	-0.125152668	-0.32353639	-1.107251582	-0.000203395	-0.276178447	0.949827607	-0.044125886	0.739127088	-0.081469139	0.283064694	-0.521654591	-0.003438684	-0.894288988	-0.192934418	-0.041724067	0.311340058	0.717323581	-0.28653327	-0.134274478	-0.594041848	0.90909329	-0.025967615	0.018307069
ACBD3	0.766542154	-0.094623072	0.143626327	0.330468776	0.170011882	0.350024279	-0.48826057	-0.235564125	-0.222397403	0.57491129	0.047940846	0.139405445	-0.068565738	0.54176322	-0.015466502	-0.059201382	-0.167614441	-0.013986575	-0.024223834	0.59475099	0.253381501	-0.07838351	0.161379308	0.068157179	0.521108529	-0.102023302	-0.175506601
ACBD5	1.239503844	0.414480786	-0.122845949	0.197514683	0.19538865	-0.44606116	-0.579371853	0.141334179	-0.260064104	0.515486329	-0.302302341	0.350810105	0.316472992	0.079509518	-0.1312423	0.200530369	0.023763205	0.082701086	-0.065893732	0.554598153	-0.038170514	0.282754335	-0.24853618	0.142027862	0.185795262	-0.299173355	0.017844186
ACBD6	0.157368762	-0.453479158	0.075676125	0.256829771	0.505969552	0.111506444	-0.253933816	0.234476254	0.092768998	0.43776754	-0.028098809	0.352358716	0.067161038	-0.454360372	-0.175091871	0.181257521	-0.08156406	0.014530982	0.064462487	-0.290335101	0.148082532	0.428613001	0.177181415	0.40913165	-0.163440985	-0.018152345	0.209621155
