"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"39","AMPN_HUMAN","AR_vs_STA",-0.510715868820115,0.593100419317988,-0.861095106638759,9,0.41153869534406,0.618119918184028,NA,0.76063829787234,0.326241134751773
"40","AMY1_HUMAN","AR_vs_STA",-3.43634356494719,1.1498688785151,-2.98846557999269,8,0.0173745594199302,0.178278087961022,NA,0.795454545454545,0.25
"41","AMY2B_HUMAN","AR_vs_STA",-2.68878259487984,0.781650267153972,-3.4398793269397,5,0.0184377768928448,0.178821178631974,NA,0.75,0.138888888888889
"42","AMYP_HUMAN","AR_vs_STA",-3.31522652551687,0.932013989933504,-3.55705661215814,7,0.00925583985732548,0.159547603406662,NA,0.733333333333333,0.333333333333333
"43","ANAG_HUMAN","AR_vs_STA",-1.24264662105363,0.396772018180564,-3.13189076878935,9,0.0120848337448423,0.16056971068777,NA,0.804824561403509,0.239035087719298
"44","ANGI_HUMAN","AR_vs_STA",-0.905820452569752,0.696480703897158,-1.30056790877512,5,0.25012069309651,0.48105726683704,NA,0.416666666666667,0
"45","ANGL2_HUMAN;ANGL6_HUMAN","AR_vs_STA",-0.926231754504666,0.616528598656268,-1.50233380336841,7,0.176710032174981,0.411548364407522,NA,0.803571428571429,0.232142857142857
"46","ANGT_HUMAN","AR_vs_STA",0.528640821450377,0.721440387310512,0.73275745404429,9,0.482353396867718,0.676249910856127,NA,0.80952380952381,0.158730158730159
"47","ANT3_HUMAN;CON__P41361","AR_vs_STA",1.34056514925957,0.513964110277103,2.60828552510565,10,0.0261175192707981,0.185703132087633,NA,0.702380952380952,0.416666666666667
"48","ANTR1_HUMAN","AR_vs_STA",0.336010554488265,0.354322060586869,0.948319599213567,8,0.370729182270538,0.585884511266832,NA,0.883333333333333,0.05
"49","ANXA1_HUMAN","AR_vs_STA",-2.50201540685974,1.36687533796751,-1.83046349389853,6,0.116913022735554,0.336481382507205,NA,0.712121212121212,0.297979797979798
"50","ANXA2_HUMAN;AXA2L_HUMAN","AR_vs_STA",-3.78802119348638,0.808849298163208,-4.6832224520544,5,0.00541790356518579,0.145130386247536,NA,0.696759259259259,0.247685185185185
"51","ANXA3_HUMAN","AR_vs_STA",-1.49003826755537,2.39582269993462,-0.621931776335549,2,0.597436114754785,0.771062656616612,NA,0.911111111111111,0.0666666666666667
"52","ANXA4_HUMAN","AR_vs_STA",0.00929463120456384,0.77144906575182,0.0120482759227995,6,0.99077772021355,0.993584455964863,NA,0.708333333333333,0.208333333333333
"53","ANXA5_HUMAN","AR_vs_STA",-0.201817454168299,0.757264548984122,-0.26650851996048,3,0.807115985079359,0.90793922206985,NA,0.933333333333333,0.0583333333333333
"54","APOA1_HUMAN;CON__P15497","AR_vs_STA",1.8670040738748,0.935427483803102,1.99588327925138,10,0.0738931063062747,0.282404845030351,NA,0.731182795698925,0.333333333333333
"55","APOA2_HUMAN","AR_vs_STA",1.7201820832872,0.963091006786566,1.78610543672994,9,0.107732150729797,0.323486032747387,NA,0.611111111111111,0.222222222222222
"56","APOA4_HUMAN","AR_vs_STA",2.69030286789756,0.807905575156821,3.32997190590663,10,0.00761822726141248,0.15863837944353,NA,0.788095238095238,0.273809523809524
"57","APOA_HUMAN","AR_vs_STA",-2.45066291242858,0.87885502092948,-2.78847233510341,10,0.0191699519148103,0.183021957307724,NA,0.566666666666667,0.366666666666667
"58","APOB_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.986111111111111,0
"59","APOC3_HUMAN","AR_vs_STA",2.74663683962096,1.89027053413858,1.45303901744024,2,0.283383984708749,0.502466060526643,NA,0.92948717948718,0.032051282051282
"60","APOD_HUMAN","AR_vs_STA",-2.01340464379378,0.824784022522228,-2.44112954278224,10,0.0347816954094071,0.206935818599328,NA,0.44551282051282,0.21474358974359
